Player,Team,Venue,Category,Market,n,n_venue,mu_all,mu_blend,s2_blend,narrative_mult,mu_adj,s2_adj,p_base,p_final,Odds,Implied,Fair_Odds,EV_pct,Line,Model
M. Belloumi,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,11,0,2.5455,2.5455,2.5555,1.0,2.5455,2.5555,0.92117,0.92117,1.11,0.900901,1.0856,2.2499,1,NegBin
M. Belloumi,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,11,0,2.5455,2.5455,2.5555,1.0,2.5455,2.5555,0.721299,0.721299,1.53,0.653595,1.3864,10.3587,2,NegBin
O. McBurnie,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,28,0,2.0,2.0,2.2222,1.0,2.0,2.2222,0.849905,0.849905,1.08,0.925926,1.1766,-8.2102,1,NegBin
O. McBurnie,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,28,0,2.0,2.0,2.2222,1.0,2.0,2.2222,0.579735,0.579735,1.4,0.714286,1.7249,-18.8371,2,NegBin
L. Millar,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,27,0,1.7778,1.7778,2.1026,1.0,1.7778,2.1026,0.804618,0.804618,1.12,0.892857,1.2428,-9.8828,1,NegBin
L. Millar,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,27,0,1.7778,1.7778,2.1026,1.0,1.7778,2.1026,0.510927,0.510927,1.61,0.621118,1.9572,-17.7408,2,NegBin
J. Gelhardt,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,21,0,1.4762,1.4762,2.4619,1.0,1.4762,2.4619,0.677199,0.677199,1.11,0.900901,1.4767,-24.8309,1,NegBin
J. Gelhardt,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,21,0,1.4762,1.4762,2.4619,1.0,1.4762,2.4619,0.391473,0.391473,1.53,0.653595,2.5545,-40.1046,2,NegBin
M. Crooks,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,20,0,0.95,0.95,0.96,1.0,0.95,0.96,0.611334,0.611334,1.25,0.8,1.6358,-23.5833,1,NegBin
M. Crooks,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,20,0,0.95,0.95,0.96,1.0,0.95,0.96,0.245947,0.245947,2.1,0.47619,4.0659,-48.351,2,NegBin
K. Joseph,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,20,0,1.1,1.1,1.2526,1.0,1.1,1.2526,0.643022,0.643022,1.08,0.925926,1.5552,-30.5536,1,NegBin
K. Joseph,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,20,0,1.1,1.1,1.2526,1.0,1.1,1.2526,0.298194,0.298194,1.4,0.714286,3.3535,-58.2528,2,NegBin
R. Slater,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,25,0,0.68,0.68,0.69,1.0,0.68,0.69,0.490868,0.490868,1.25,0.8,2.0372,-38.6415,1,NegBin
R. Slater,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,25,0,0.68,0.68,0.69,1.0,0.68,0.69,0.149676,0.149676,2.1,0.47619,6.6811,-68.568,2,NegBin
S. Ajayi,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,12,0,0.5833,0.5833,0.8106,1.0,0.5833,0.8106,0.388977,0.388977,2.37,0.421941,2.5708,-7.8124,1,NegBin
S. Ajayi,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,12,0,0.5833,0.5833,0.8106,1.0,0.5833,0.8106,0.132481,0.132481,8.0,0.125,7.5483,5.9848,2,NegBin
L. Koumas,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,11,0,0.6364,0.6364,0.8545,1.0,0.6364,0.8545,0.421413,0.421413,1.16,0.862069,2.373,-51.1161,1,NegBin
L. Koumas,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,11,0,0.6364,0.6364,0.8545,1.0,0.6364,0.8545,0.147227,0.147227,1.8,0.555556,6.7922,-73.4991,2,NegBin
C. Hughes,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,22,0,0.5909,0.5909,0.6009,1.0,0.5909,0.6009,0.443431,0.443431,2.0,0.5,2.2551,-11.3137,1,NegBin
C. Hughes,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,22,0,0.5909,0.5909,0.6009,1.0,0.5909,0.6009,0.120023,0.120023,6.0,0.166667,8.3317,-27.9862,2,NegBin
C. Drameh,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,10,0,0.6,0.6,0.9333,1.0,0.6,0.9333,0.379469,0.379469,2.0,0.5,2.6353,-24.1062,1,NegBin
C. Drameh,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,10,0,0.6,0.6,0.9333,1.0,0.6,0.9333,0.140121,0.140121,6.0,0.166667,7.1367,-15.9274,2,NegBin
C. McCarthy,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,4,0,0.5,0.5,0.51,1.0,0.5,0.51,0.390469,0.390469,2.75,0.363636,2.561,7.379,1,NegBin
C. McCarthy,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,4,0,0.5,0.5,0.51,1.0,0.5,0.51,0.091679,0.091679,10.0,0.1,10.9076,-8.3205,2,NegBin
J. Egan,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,27,0,0.5185,0.5185,0.7208,1.0,0.5185,0.7208,0.354547,0.354547,2.37,0.421941,2.8205,-15.9724,1,NegBin
J. Egan,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,27,0,0.5185,0.5185,0.7208,1.0,0.5185,0.7208,0.113789,0.113789,8.0,0.125,8.7882,-8.9686,2,NegBin
A. Hadziahmetovic,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,20,0,0.55,0.55,0.5763,1.0,0.55,0.5763,0.415645,0.415645,1.61,0.621118,2.4059,-33.0811,1,NegBin
A. Hadziahmetovic,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,20,0,0.55,0.55,0.5763,1.0,0.55,0.5763,0.108926,0.108926,3.75,0.266667,9.1805,-59.1528,2,NegBin
J. Lundstram,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,16,0,0.5,0.5,0.8,1.0,0.5,0.8,0.324073,0.324073,1.5,0.666667,3.0857,-51.3891,1,NegBin
