"Player","Category","Market","Odds","Team","League"
"M. Belloumi","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.11","hull-city","championship"
"M. Belloumi","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.53","hull-city","championship"
"O. McBurnie","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.08","hull-city","championship"
"O. McBurnie","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.40","hull-city","championship"
"L. Millar","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.12","hull-city","championship"
"L. Millar","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.61","hull-city","championship"
"J. Gelhardt","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.11","hull-city","championship"
"J. Gelhardt","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.53","hull-city","championship"
"M. Crooks","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.25","hull-city","championship"
"M. Crooks","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","2.10","hull-city","championship"
"K. Joseph","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.08","hull-city","championship"
"K. Joseph","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.40","hull-city","championship"
"R. Slater","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.25","hull-city","championship"
"R. Slater","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","2.10","hull-city","championship"
"S. Ajayi","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","2.37","hull-city","championship"
"S. Ajayi","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","8.00","hull-city","championship"
"L. Koumas","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.16","hull-city","championship"
"L. Koumas","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.80","hull-city","championship"
"C. Hughes","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","2.00","hull-city","championship"
"C. Hughes","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","6.00","hull-city","championship"
"C. Drameh","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","2.00","hull-city","championship"
"C. Drameh","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","6.00","hull-city","championship"
"C. McCarthy","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","2.75","hull-city","championship"
"C. McCarthy","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","10.00","hull-city","championship"
"J. Egan","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","2.37","hull-city","championship"
