Bookmaker,Type,Description,Odds,p_a,EV_pct,n,Conf,f_raw,f_adj,Shrink,Type2,team,overlap_n,mv_discount,mv_kelly,unit_stake,mv_stake
Bet365,Single,TMS: Middlesbrough TOTAL SHOTS 17.5 Over,3.5,0.4747675749386286,66.16865122852002,30,HIGH,0.26467460491408,0.2138484933340918,0.807967554739573,TMS,boro,9,0.3333333333333333,0.07128283111136394,10.0,17.38
Bet365,Single,M. Belloumi – HAVE 2 OR MORE SHOTS (total-shots),1.53,0.721299,10.3587,11,MEDIUM,0.1954480566037737,0.1588172389934897,0.8125802924480103,Player,hull,15,0.2581988897471611,0.041006434780828584,10.0,10.0
Bet365,Single,TMS: Hull TOTAL SHOTS 12.5 Over,3.25,0.4160094833142616,35.20308207713501,30,HIGH,0.15645814256504448,0.12261358628281557,0.7836829983574765,TMS,hull,15,0.2581988897471611,0.03165869184614072,7.72,7.72
Bet365,Single,A. Famewo – WIN 2 OR MORE FOULS (fouls-drawn),6.0,0.300803,80.4819,10,MEDIUM,0.16096359999999996,0.08335919507221476,0.5178760606262209,Player,hull,15,0.2581988897471611,0.021523251617862872,5.25,5.25
Bet365,Single,TMS: Both Teams Combined TOTAL TACKLES 26.5 Under,8.5,0.2443935642306642,107.7345295960646,15,MEDIUM,0.1436460394614194,0.07843051842920241,0.5459984746065161,TMS,other,10,0.31622776601683794,0.02480190763040912,4.94,6.05
Bet365,Single,P. James Coleman McNair – WIN 2 OR MORE FOULS (fouls-drawn),4.33,0.337072,45.952,10,MEDIUM,0.13799452252252256,0.07679702118806594,0.5565222429428794,Player,other,10,0.31622776601683794,0.024285350447049863,4.84,5.92
Bet365,Single,TMS: Both Teams Combined GOAL KICKS 13.5 Goal Kicks Under,3.4,0.3749502193437315,27.483074576868734,15,MEDIUM,0.11451281073695299,0.07633781979657268,0.6666312642690086,TMS,other,10,0.31622776601683794,0.024140138216866128,4.81,5.89
Bet365,Single,C. Brittain – HAVE 2 OR MORE SHOTS (total-shots),3.75,0.334371,25.3892,25,HIGH,0.09232409090909087,0.06627174408726468,0.717816373112417,Player,boro,9,0.3333333333333333,0.022090581362421556,4.17,5.39
Bet365,Single,TMS: Middlesbrough THROW INS 14.5 Throw Ins Under,13.0,0.1701455708999945,121.18924216999284,30,HIGH,0.1009910351416607,0.06027056061967894,0.5967911957248193,TMS,boro,9,0.3333333333333333,0.020090186873226314,3.79,4.9
Bet365,Single,A. Morris – HAVE 2 OR MORE SHOTS (total-shots),2.25,0.486121,9.3772,26,HIGH,0.0750178,0.059891389099592844,0.798362376657178,Player,boro,9,0.3333333333333333,0.019963796366530947,3.77,4.87
Bet365,Single,O. McBurnie – TO SCORE (xg),4.0,0.302324,20.9295,28,HIGH,0.0697653333333333,0.0497367036321735,0.7129142979154908,Player,hull,15,0.2581988897471611,0.012841961657510793,3.13,3.13
Bet365,Single,TMS: Hull GOAL KICKS 5.5 Goal Kicks Under,6.5,0.2149605305674569,39.72434486884702,30,HIGH,0.07222608157972177,0.04702612397110997,0.6510961544993056,TMS,hull,15,0.2581988897471611,0.012142092998452954,2.96,2.96
Bet365,Single,TMS: Hull TOTAL GOALS 2 Goals Over,11.0,0.1485806359321068,63.43869952531747,30,HIGH,0.06343869952531747,0.035712885913853507,0.5629511036808219,TMS,hull,15,0.2581988897471611,0.009221027492624004,2.25,2.25
Bet365,Single,O. McBurnie – HAVE 2 OR MORE SHOTS ON TARGET (shots-on-target),4.0,0.287803,15.1211,28,HIGH,0.05040399999999997,0.03541963308389866,0.7027147266863478,Player,hull,15,0.2581988897471611,0.009145309937514449,2.23,2.23
Bet365,Single,TMS: Both Teams Combined TOTAL SHOTS ON TARGET 5.5 Under,7.0,0.1993959146202761,39.577140234193294,15,MEDIUM,0.06596190039032211,0.03183488542981213,0.48262535253582417,TMS,other,10,0.31622776601683794,0.010067074700871474,2.0,2.45
Bet365,Single,TMS: Middlesbrough CORNERS 11 Corners Over,11.0,0.1380481371707642,51.85295088784068,30,HIGH,0.05185295088784063,0.02819707242636,0.5437891565197717,TMS,boro,9,0.3333333333333333,0.009399024142119999,1.78,2.29
Bet365,Single,M. Belloumi – HAVE 2 OR MORE SHOTS ON TARGET (shots-on-target),5.5,0.231023,27.0628,11,MEDIUM,0.06013922222222225,0.02705731570581876,0.4499113009117155,Player,hull,15,0.2581988897471611,0.006986168874780829,1.7,1.7
Bet365,Single,TMS: Hull FREE KICKS 15.5 Free Kicks Over,8.0,0.1640869927867503,31.26959422940025,30,HIGH,0.04467084889914319,0.026262830407246016,0.5879187670362305,TMS,hull,15,0.2581988897471611,0.006781033652768904,1.65,1.65
Bet365,Builder,Builder: Boro Throw Ins <16.5 + Brittain 2+ Shots,22.159,0.102884,127.98,25,HIGH,0.060485209887045706,0.02476371965804946,0.40941776848083944,Builder,boro,9,0.3333333333333333,0.008254573219349819,1.56,2.01
Bet365,Single,TMS: Hull CARDS 4 Cards Over,10.0,0.1374493075576096,37.44930755760964,30,HIGH,0.04161034173067731,0.022579338145198066,0.5426376522294072,TMS,hull,15,0.2581988897471611,0.005829960040315865,1.42,1.42
Bet365,Single,TMS: Hull CORNERS 9 Corners Over,23.0,0.0828419922994528,90.5365822887416,30,HIGH,0.041152991949427925,0.01615313051296965,0.3925141222494808,TMS,hull,15,0.2581988897471611,0.004170720364389755,1.02,1.02
Bet365,Single,C. McCarthy – HAVE 1 OR MORE SHOTS (total-shots),2.75,0.390469,7.379,4,LOW,0.04216557142857142,0.015824549880522475,0.3752955158530058,Player,hull,15,0.2581988897471611,0.004085881209899474,1.0,1.0
Bet365,Single,TMS: Both Teams Combined CORNERS 7 Corners Under,9.0,0.1422076924495554,27.9869232045999,15,MEDIUM,0.03498365400574982,0.01279918344760796,0.36586182351061214,TMS,other,10,0.31622776601683794,0.004047457188476755,0.81,0.99
Bet365,Single,TMS: Both Teams Combined THROW INS 57.5 Throw Ins Over,17.0,0.1020534746546532,73.49090691291042,15,MEDIUM,0.04593181682056902,0.010753153482748183,0.23411121586491968,TMS,other,10,0.31622776601683794,0.0034004457034856384,0.68,0.83
Bet365,Builder,Builder: Boro Shots >17.5 + Morris 2+ Shots,4.211,0.247873,4.38,26,HIGH,0.013638493615696079,0.008979300528936768,0.6583792009553604,Builder,boro,9,0.3333333333333333,0.002993100176312256,0.57,0.73
Bet365,Single,R. McGree – TO SCORE (xg),4.33,0.242114,4.8353,18,MEDIUM,0.014520606606606602,0.008465239212247486,0.5829811000041805,Player,boro,9,0.3333333333333333,0.0028217464040824953,0.53,0.69
Bet365,Single,P. James Coleman McNair – COMMIT 2 OR MORE FOULS (fouls-committed),5.5,0.191647,5.406,10,MEDIUM,0.012013000000000027,0.004211089002949157,0.35054432722460227,Player,other,10,0.31622776601683794,0.0013316632679006854,0.27,0.32
