Bookmaker,Market,Context,Player_Team,Label,Column_Header,Odds
"Bet365","TOTAL GOALS","Both Teams Combined","","0 Goals","Over","1.071"
"Bet365","TOTAL GOALS","Both Teams Combined","","0 Goals","Exactly","9.00"
"Bet365","TOTAL GOALS","Both Teams Combined","","1 Goals","Over","1.36"
"Bet365","TOTAL GOALS","Both Teams Combined","","1 Goals","Exactly","4.33"
"Bet365","TOTAL GOALS","Both Teams Combined","","1 Goals","Under","9.00"
"Bet365","TOTAL GOALS","Both Teams Combined","","2 Goals","Over","2.10"
"Bet365","TOTAL GOALS","Both Teams Combined","","2 Goals","Exactly","3.50"
"Bet365","TOTAL GOALS","Both Teams Combined","","2 Goals","Under","3.20"
"Bet365","TOTAL GOALS","Both Teams Combined","","3 Goals","Over","3.75"
"Bet365","TOTAL GOALS","Both Teams Combined","","3 Goals","Exactly","4.33"
"Bet365","TOTAL GOALS","Both Teams Combined","","3 Goals","Under","1.72"
"Bet365","TOTAL GOALS","Both Teams Combined","","4 Goals","Over","8.00"
"Bet365","TOTAL GOALS","Both Teams Combined","","4 Goals","Exactly","6.50"
"Bet365","TOTAL GOALS","Both Teams Combined","","4 Goals","Under","1.28"
"Bet365","TOTAL GOALS","Both Teams Combined","","5 Goals","Over","17.00"
"Bet365","TOTAL GOALS","Both Teams Combined","","5 Goals","Exactly","12.00"
"Bet365","TOTAL GOALS","Both Teams Combined","","5 Goals","Under","1.083"
"Bet365","TOTAL GOALS","Both Teams Combined","","6 Goals","Over","34.00"
"Bet365","TOTAL GOALS","Both Teams Combined","","6 Goals","Exactly","26.00"
"Bet365","TOTAL GOALS","Both Teams Combined","","6 Goals","Under","1.025"
"Bet365","CORNERS","Both Teams Combined","","5 Corners","Over","1.03"
"Bet365","CORNERS","Both Teams Combined","","5 Corners","Exactly","21.00"
"Bet365","CORNERS","Both Teams Combined","","5 Corners","Under","23.00"
"Bet365","CORNERS","Both Teams Combined","","6 Corners","Over","1.071"
"Bet365","CORNERS","Both Teams Combined","","6 Corners","Exactly","15.00"
"Bet365","CORNERS","Both Teams Combined","","6 Corners","Under","15.00"
"Bet365","CORNERS","Both Teams Combined","","7 Corners","Over","1.14"
"Bet365","CORNERS","Both Teams Combined","","7 Corners","Exactly","11.00"
"Bet365","CORNERS","Both Teams Combined","","7 Corners","Under","9.00"
"Bet365","CORNERS","Both Teams Combined","","8 Corners","Over","1.28"
"Bet365","CORNERS","Both Teams Combined","","8 Corners","Exactly","9.50"
"Bet365","CORNERS","Both Teams Combined","","8 Corners","Under","5.50"
"Bet365","CORNERS","Both Teams Combined","","9 Corners","Over","1.50"
"Bet365","CORNERS","Both Teams Combined","","9 Corners","Exactly","8.50"
"Bet365","CORNERS","Both Teams Combined","","9 Corners","Under","3.50"
"Bet365","CORNERS","Both Teams Combined","","10 Corners","Over","1.80"
"Bet365","CORNERS","Both Teams Combined","","10 Corners","Exactly","8.50"
"Bet365","CORNERS","Both Teams Combined","","10 Corners","Under","2.50"
"Bet365","CORNERS","Both Teams Combined","","11 Corners","Over","2.25"
"Bet365","CORNERS","Both Teams Combined","","11 Corners","Exactly","8.50"
"Bet365","CORNERS","Both Teams Combined","","11 Corners","Under","1.90"
"Bet365","CORNERS","Both Teams Combined","","12 Corners","Over","3.00"
"Bet365","CORNERS","Both Teams Combined","","12 Corners","Exactly","9.50"
"Bet365","CORNERS","Both Teams Combined","","12 Corners","Under","1.57"
"Bet365","CORNERS","Both Teams Combined","","13 Corners","Over","4.00"
"Bet365","CORNERS","Both Teams Combined","","13 Corners","Exactly","11.00"
"Bet365","CORNERS","Both Teams Combined","","13 Corners","Under","1.36"
"Bet365","CORNERS","Both Teams Combined","","14 Corners","Over","6.00"
"Bet365","CORNERS","Both Teams Combined","","14 Corners","Exactly","13.00"
"Bet365","CORNERS","Both Teams Combined","","14 Corners","Under","1.22"
"Bet365","CORNERS","Both Teams Combined","","15 Corners","Over","9.00"
"Bet365","CORNERS","Both Teams Combined","","15 Corners","Exactly","15.00"
"Bet365","CORNERS","Both Teams Combined","","15 Corners","Under","1.12"
"Bet365","CORNERS","Both Teams Combined","","16 Corners","Over","13.00"
"Bet365","CORNERS","Both Teams Combined","","16 Corners","Exactly","19.00"
"Bet365","CORNERS","Both Teams Combined","","16 Corners","Under","1.071"
"Bet365","CORNERS","Both Teams Combined","","17 Corners","Over","17.00"
"Bet365","CORNERS","Both Teams Combined","","17 Corners","Exactly","23.00"
"Bet365","CORNERS","Both Teams Combined","","17 Corners","Under","1.04"
"Bet365","CORNERS","Both Teams Combined","","18 Corners","Over","21.00"
"Bet365","CORNERS","Both Teams Combined","","18 Corners","Exactly","29.00"
"Bet365","CORNERS","Both Teams Combined","","18 Corners","Under","1.02"
"Bet365","CARDS","Both Teams Combined","","1 Cards","Over","1.062"
"Bet365","CARDS","Both Teams Combined","","1 Cards","Exactly","12.00"
"Bet365","CARDS","Both Teams Combined","","1 Cards","Under","21.00"
"Bet365","CARDS","Both Teams Combined","","2 Cards","Over","1.20"
"Bet365","CARDS","Both Teams Combined","","2 Cards","Exactly","7.00"
"Bet365","CARDS","Both Teams Combined","","2 Cards","Under","10.00"
"Bet365","CARDS","Both Teams Combined","","3 Cards","Over","1.50"
"Bet365","CARDS","Both Teams Combined","","3 Cards","Exactly","5.50"
"Bet365","CARDS","Both Teams Combined","","3 Cards","Under","4.33"
"Bet365","CARDS","Both Teams Combined","","4 Cards","Over","2.10"
"Bet365","CARDS","Both Teams Combined","","4 Cards","Exactly","5.00"
"Bet365","CARDS","Both Teams Combined","","4 Cards","Under","2.50"
"Bet365","CARDS","Both Teams Combined","","5 Cards","Over","3.25"
"Bet365","CARDS","Both Teams Combined","","5 Cards","Exactly","5.50"
"Bet365","CARDS","Both Teams Combined","","5 Cards","Under","1.66"
"Bet365","CARDS","Both Teams Combined","","6 Cards","Over","5.00"
"Bet365","CARDS","Both Teams Combined","","6 Cards","Exactly","7.00"
"Bet365","CARDS","Both Teams Combined","","6 Cards","Under","1.33"
"Bet365","CARDS","Both Teams Combined","","7 Cards","Over","9.00"
"Bet365","CARDS","Both Teams Combined","","7 Cards","Exactly","10.00"
"Bet365","CARDS","Both Teams Combined","","7 Cards","Under","1.16"
"Bet365","CARDS","Both Teams Combined","","8 Cards","Over","17.00"
"Bet365","CARDS","Both Teams Combined","","8 Cards","Exactly","15.00"
"Bet365","CARDS","Both Teams Combined","","8 Cards","Under","1.071"
"Bet365","CARDS","Both Teams Combined","","9 Cards","Over","26.00"
"Bet365","CARDS","Both Teams Combined","","9 Cards","Exactly","21.00"
"Bet365","CARDS","Both Teams Combined","","9 Cards","Under","1.025"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","5.5","Over","1.083"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","5.5","Under","7.00"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","6.5","Over","1.20"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","6.5","Under","4.33"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","7.5","Over","1.36"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","7.5","Under","3.00"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","8.5","Over","1.66"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","8.5","Under","2.10"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","9.5","Over","2.10"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","9.5","Under","1.66"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","10.5","Over","2.75"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","10.5","Under","1.40"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","11.5","Over","4.00"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","11.5","Under","1.22"
